등급,어휘,품사,어종,원어,의미,日本語訳,定義,外来語_カタカナ候補,外来語_原語候補,品質フラグ,tags
1등급,가르다,동사,고유어,,"[1]쪼개거나 나누어 따로따로 되게 하다.
[2]「1」물체가 공기나 물을 양옆으로 열며 움직이다.
[2]「2」옳고 그름을 따져서 구분하다.
[2]「3」승부나 등수 따위를 서로 겨루어 정하다.
[2]「4」양쪽으로 열어젖히다.",,"[1]쪼개거나 나누어 따로따로 되게 하다.
[2]「1」물체가 공기나 물을 양옆으로 열며 움직이다.
[2]「2」옳고 그름을 따져서 구분하다.
[2]「3」승부나 등수 따위를 서로 겨루어 정하다.
[2]「4」양쪽으로 열어젖히다.",,,needs_manual_review,source:level1 grade:1 type:native risk:needs_manual_review
1등급,가르치다,동사,고유어,,"[1]「1」지식이나 기능, 이치 따위를 깨닫게 하거나 익히게 하다.
[1]「2」그릇된 버릇 따위를 고치어 바로잡다.
[1]「3」교육 기관에 보내 교육을 받게 하다.
[2]「1」상대편이 아직 모르는 일을 알도록 일러 주다.
[2]「2」사람의 도리나 바른길을 일깨우다.",,"[1]「1」지식이나 기능, 이치 따위를 깨닫게 하거나 익히게 하다.
[1]「2」그릇된 버릇 따위를 고치어 바로잡다.
[1]「3」교육 기관에 보내 교육을 받게 하다.
[2]「1」상대편이 아직 모르는 일을 알도록 일러 주다.
[2]「2」사람의 도리나 바른길을 일깨우다.",,,needs_manual_review,source:level1 grade:1 type:native risk:needs_manual_review
1등급,가르침,명사,고유어,,"도리나 지식, 사상, 기술 따위를 알게 함. 또는 그 내용.",,"도리나 지식, 사상, 기술 따위를 알게 함. 또는 그 내용.",,,needs_manual_review,source:level1 grade:1 type:native risk:needs_manual_review
1등급,가리다,동사,고유어,,보이거나 통하지 못하도록 막다.,,보이거나 통하지 못하도록 막다.,,,needs_manual_review,source:level1 grade:1 type:native risk:needs_manual_review
1등급,가리다,동사,고유어,,"「1」여럿 가운데서 하나를 구별하여 고르다.
「2」낯선 사람을 대하기 싫어하다.
「3」잘잘못이나 좋은 것과 나쁜 것 따위를 따져서 분간하다.
「4」똥오줌을 눌 곳에 누다.
「5」치러야 할 셈을 따져서 갚아 주다.
「6」음식을 골라서 먹다.
「7」머리를 대강 빗다.
「8」자기 일을 알아서 스스로 처리하다.",,"「1」여럿 가운데서 하나를 구별하여 고르다.
「2」낯선 사람을 대하기 싫어하다.
「3」잘잘못이나 좋은 것과 나쁜 것 따위를 따져서 분간하다.
「4」똥오줌을 눌 곳에 누다.
「5」치러야 할 셈을 따져서 갚아 주다.
「6」음식을 골라서 먹다.
「7」머리를 대강 빗다.
「8」자기 일을 알아서 스스로 처리하다.",,,needs_manual_review,source:level1 grade:1 type:native risk:needs_manual_review
1등급,가리키다,동사,고유어,,"「1」손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다.
「2」어떤 대상을 특별히 집어서 두드러지게 나타내다.",,"「1」손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다.
「2」어떤 대상을 특별히 집어서 두드러지게 나타내다.",,,needs_manual_review,source:level1 grade:1 type:native risk:needs_manual_review
1등급,가만,부사,고유어,,"[Ⅰ]「1」움직이지 않거나 아무 말 없이.
[Ⅰ]「2」어떤 대책을 세우거나 손을 쓰지 않고 그냥 그대로.
[Ⅰ]「3」마음을 가다듬어 곰곰이.
[Ⅰ]「4」말없이 찬찬히.
[Ⅱ]남의 말이나 행동을 막을 때 쓰는 말.",,"[Ⅰ]「1」움직이지 않거나 아무 말 없이.
[Ⅰ]「2」어떤 대책을 세우거나 손을 쓰지 않고 그냥 그대로.
[Ⅰ]「3」마음을 가다듬어 곰곰이.
[Ⅰ]「4」말없이 찬찬히.
[Ⅱ]남의 말이나 행동을 막을 때 쓰는 말.",,,multi_pos|needs_manual_review,source:level1 grade:1 type:native risk:multi_pos risk:needs_manual_review
1등급,가만있다,동사,고유어,,"[1]몸을 움직이거나 활동하지 않고 조용히 있다.
[2]「1」어떤 대책을 세우거나 손을 쓰지 않고 잠자코 있다.
[2]「2」갑자기 떠오르지 않는 기억이나 생각을 더듬을 때에 별 뜻이 없이 하는 말.",,"[1]몸을 움직이거나 활동하지 않고 조용히 있다.
[2]「1」어떤 대책을 세우거나 손을 쓰지 않고 잠자코 있다.
[2]「2」갑자기 떠오르지 않는 기억이나 생각을 더듬을 때에 별 뜻이 없이 하는 말.",,,needs_manual_review,source:level1 grade:1 type:native risk:needs_manual_review
1등급,가만히,부사,고유어,,"「1」움직이지 않거나 아무 말 없이.
「2」어떤 대책을 세우거나 손을 쓰지 않고 그냥 그대로.
「3」마음을 가다듬어 곰곰이.
「4」말없이 찬찬히.
「5」움직임 따위가 그다지 드러나지 않을 만큼 조용하고 은은하게.",,"「1」움직이지 않거나 아무 말 없이.
「2」어떤 대책을 세우거나 손을 쓰지 않고 그냥 그대로.
「3」마음을 가다듬어 곰곰이.
「4」말없이 찬찬히.
「5」움직임 따위가 그다지 드러나지 않을 만큼 조용하고 은은하게.",,,needs_manual_review,source:level1 grade:1 type:native risk:needs_manual_review
1등급,가방,명사,고유어,,"물건을 넣어 들거나 메고 다닐 수 있게 만든 용구. 가죽이나 천, 비닐 따위로 만든다.",,"물건을 넣어 들거나 메고 다닐 수 있게 만든 용구. 가죽이나 천, 비닐 따위로 만든다.",,,needs_manual_review,source:level1 grade:1 type:native risk:needs_manual_review
