등급,어휘,표준동형어번호,품사,어종,원어,의미,분야
2등급,격려,0,명사,한자어,激勵,용기나 의욕이 솟아나도록 북돋워 줌.,일반어
2등급,격려하다,0,동사,혼종어,激勵하다,용기나 의욕이 솟아나도록 북돋게 하다.,일반어
2등급,결론,2,명사,한자어,結論,"「1」말이나 글의 끝을 맺는 부분.
「2」최종적으로 판단을 내림. 또는 그 판단.
「3」추론에서 일정한 명제를 전제로 하여 이끌어 낸 판단.",일반어/일반어/전문어(철학)
2등급,결정되다,1,동사,혼종어,決定되다,행동이나 태도가 분명하게 정해지다.,일반어
2등급,결혼식장,0,명사,한자어,結婚式場,결혼 예식을 치르는 장소.,일반어
2등급,경계,4,명사,한자어,境界,"「1」사물이 어떠한 기준에 의하여 분간되는 한계.
「2」지역이 구분되는 한계.
「3」인과의 이치에 따라 스스로 받는 과보.",일반어/일반어/전문어(불교)
2등급,경비원,0,명사,한자어,警備員,경비의 임무를 맡은 사람.,일반어
2등급,경험,0,명사,한자어,經驗,"「1」자신이 실제로 해 보거나 겪어 봄. 또는 거기서 얻은 지식이나 기능.
「2」객관적 대상에 대한 감각이나 지각 작용에 의하여 깨닫게 되는 내용.",일반어/전문어(철학)
2등급,경험하다,0,동사,혼종어,經驗하다,자신이 실제로 해 보거나 겪어 보다.,일반어
2등급,곁들이다,0,동사,고유어,,"「1」남이 하는 일이나 말을 좀 거들어 주게 하다. ‘곁들다[2]「2」’의 사동사.
「2」주된 음식에 다른 음식을 서로 어울리게 내어놓다.
「3」주로 하는 일 외에 다른 일을 겸하여 하다.",일반어/일반어/일반어
2등급,계급,2,명사,한자어,階級,"「1」사회나 일정한 조직 내에서의 지위, 관직 따위의 단계.
「2」일정한 사회에서 신분, 재산, 직업 따위가 비슷한 사람들로 형성되는 집단. 또는 그렇게 나뉜 사회적 지위.
「3」통계 자료의 변량(變量)을 분류ㆍ정리하기 위하여 나눈 구간. 보통 변량을 같은 간격으로 나누어 얻는다.",일반어/전문어(사회 일반)/전문어(수학)
2등급,계란찜,0,명사,혼종어,鷄卵찜,"달걀 푼 것에 새우젓이나 명란젓, 파, 깨 따위를 넣고 찐 음식.",일반어
2등급,계좌,2,명사,한자어,計座,"「1」부기에서, 계정마다 금액의 증감을 차변과 대변으로 나누어 기록ㆍ계산하는 자리.
「2」금융 기관에 예금하려고 설정한 개인명이나 법인명의 계좌.",전문어(경영)/전문어(경제)
2등급,계획서,0,명사,한자어,計劃書,계획한 내용을 담은 서류.,일반어
2등급,계획표,0,명사,한자어,計劃表,앞으로 할 일의 절차나 방법 따위를 미리 헤아려 적은 표.,일반어
2등급,고객,4,명사,한자어,顧客,"「1」상점 따위에 물건을 사러 오는 손님.
「2」단골로 오는 손님.",일반어/일반어
2등급,고급,2,명사,한자어,高級,"「1」물건이나 시설 따위의 품질이 뛰어나고 값이 비쌈.
「2」지위나 신분 또는 수준 따위가 높음.",일반어/일반어
2등급,고독,1,명사,한자어,孤獨,"「1」세상에 홀로 떨어져 있는 듯이 매우 외롭고 쓸쓸함.
「2」부모 없는 어린아이와 자식 없는 늙은이.",일반어/일반어
2등급,고독하다,0,형용사,혼종어,孤獨하다,세상에 홀로 떨어져 있는 듯이 매우 외롭고 쓸쓸하다.,일반어
2등급,고등학교,0,명사,한자어,高等學校,중학교를 졸업한 사람에게 고등 보통 교육과 실업 교육을 실시하는 학교. 인문계와 실업계의 두 종류가 있고 수업 연한은 3년이다.,전문어(교육)
2등급,고등학생,0,명사,한자어,高等學生,고등학교에 다니는 학생.,일반어
2등급,고릴라,0,명사,외래어,gorilla,성성잇속의 고릴라류에 속하는 동물을 통틀어 이르는 말. 아프리카의 숲에 사는데 서부고릴라와 동부고릴라 두 종이 있다.,전문어(동물)
2등급,고만,2,부사,고유어,,"「1」고 정도까지만.
「2」고대로 곧.
「3」고 정도로 하고.
「4」자신도 모르는 사이에. ‘그만02「4」’보다 작은 느낌을 준다.
「5」달리 해 볼 도리가 없이. ‘그만02「5」’보다 작은 느낌을 준다.
「6」고것으로 끝임을 나타내는 말.
「7」더할 나위 없이 좋음을 나타내는 말. ‘그만02「7」’보다 작은 느낌을 준다.",일반어/일반어/일반어/일반어/일반어/일반어/일반어
2등급,고무신,0,명사,고유어,,탄성 고무로 만든 신.,일반어
2등급,고무장갑,0,명사,혼종어,고무掌匣,"「1」고무로 만든 장갑. 의료용, 전기 절연용, 취사용이나 잔일용 따위로 쓴다.
「2」은어로, ‘포스터01’를 이르는 말.",일반어/일반어
2등급,고물,6,명사,한자어,古物/故物,"「1」옛날 물건.
「2」헐거나 낡은 물건.
「3」쓸모없이 된 사람을 비유적으로 이르는 말.",일반어/일반어/일반어
2등급,고발,2,명사,한자어,告發,"「1」세상에 잘 알려지지 않은 잘못이나 비리 따위를 드러내어 알림.
「2」피해자나 고소권자가 아닌 제삼자가 수사 기관에 범죄 사실을 신고하여 수사 및 범인의 기소를 요구하는 일.",일반어/전문어(법률)
2등급,고발하다,2,동사,혼종어,告發하다,"「1」세상에 잘 알려지지 않은 잘못이나 비리 따위를 드러내어 알리다.
「2」피해자나 고소권자가 아닌 제삼자가 수사 기관에 범죄 사실을 신고하여 수사 및 범인의 기소를 요구하다.",일반어/전문어(법률)
2등급,고속,2,명사,한자어,高速,매우 빠른 속도.,일반어
2등급,고요하다,0,형용사,고유어,,"「1」조용하고 잠잠하다.
「2」움직임이나 흔들림이 없이 잔잔하다.
「3」모습이나 마음 따위가 조용하고 평화롭다.",일반어/일반어/일반어
2등급,고이,1,부사,고유어,,"「1」겉모양 따위가 보기에 산뜻하고 아름답게.
「2」정성을 다하여.
「3」편안하고 순탄하게.
「4」온전하게 고스란히.
「5」성질이나 태도가 순순하게.",일반어/일반어/일반어/일반어/일반어
2등급,고이다,1,동사,고유어,,"「1」물 따위의 액체나 가스, 냄새 따위가 우묵한 곳에 모이다.
「2」입에 침이 모이거나 눈에 눈물이 어리거나 하다.",일반어/일반어
2등급,고장,1,명사,고유어,,"「1」사람이 많이 사는 지방이나 지역.
「2」어떤 물건이 특히 많이 나거나 있는 곳.",일반어
