등급,어휘,품사,어종,원어,의미,日本語訳,定義,外来語_カタカナ候補,外来語_原語候補,品質フラグ,tags
1등급,이런,관형사,고유어,,"[Ⅰ]상태, 모양, 성질 따위가 이러한.
[Ⅱ]‘이리한’이 줄어든 말.",,"[Ⅰ]상태, 모양, 성질 따위가 이러한.
[Ⅱ]‘이리한’이 줄어든 말.",,,multi_gloss|native_manual_review|multi_pos|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:multi_pos risk:needs_manual_review
1등급,이런,감탄사,고유어,,뜻밖에 놀라운 일이나 딱한 일을 보거나 들었을 때 하는 말.,,뜻밖에 놀라운 일이나 딱한 일을 보거나 들었을 때 하는 말.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,이렇게,품사없음,고유어,,‘이러하게’가 줄어든 말.,,‘이러하게’가 줄어든 말.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,이렇다,형용사,고유어,,"상태, 모양, 성질 따위가 이와 같다.",,"상태, 모양, 성질 따위가 이와 같다.",,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,이루다,동사,고유어,,"「1」어떤 대상이 일정한 상태나 결과를 생기게 하거나 일으키거나 만들다.
「2」뜻한 대로 되게 하다.
「3」몇 가지 부분이나 요소들을 모아 일정한 성질이나 모양을 가진 존재가 되게 하다.
「4」예식이나 계약 따위를 진행되게 하다.",,"「1」어떤 대상이 일정한 상태나 결과를 생기게 하거나 일으키거나 만들다.
「2」뜻한 대로 되게 하다.
「3」몇 가지 부분이나 요소들을 모아 일정한 성질이나 모양을 가진 존재가 되게 하다.
「4」예식이나 계약 따위를 진행되게 하다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이루어지다,동사,고유어,,"[1]「1」어떤 대상에 의하여 일정한 상태나 결과가 생기거나 만들어지다.
[1]「2」뜻한 대로 되다.
[2]몇 가지 부분이나 요소가 모여 일정한 성질이나 모양을 가진 존재가 되다.",,"[1]「1」어떤 대상에 의하여 일정한 상태나 결과가 생기거나 만들어지다.
[1]「2」뜻한 대로 되다.
[2]몇 가지 부분이나 요소가 모여 일정한 성질이나 모양을 가진 존재가 되다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이뤄지다,동사,고유어,,"[1]「1」‘이루어지다[1]「1」’의 준말.
[1]「2」‘이루어지다[1]「2」’의 준말.
[2]‘이루어지다[2]’의 준말.",,"[1]「1」‘이루어지다[1]「1」’의 준말.
[1]「2」‘이루어지다[1]「2」’의 준말.
[2]‘이루어지다[2]’의 준말.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이르다,동사,고유어,,"「1」어떤 장소나 시간에 닿다.
「2」어떤 정도나 범위에 미치다.",,"「1」어떤 장소나 시간에 닿다.
「2」어떤 정도나 범위에 미치다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이르다,동사,고유어,,"[1]「1」무엇이라고 말하다.
[1]「2」잘 깨닫도록 일의 이치를 밝혀 말해 주다.
[1]「3」미리 알려 주다.
[1]「4」어떤 사람의 잘못을 윗사람에게 말하여 알게 하다.
[2]어떤 대상을 무엇이라고 이름 붙이거나 가리켜 말하다.
[3]책이나 속담 따위에 예부터 말하여지다.",,"[1]「1」무엇이라고 말하다.
[1]「2」잘 깨닫도록 일의 이치를 밝혀 말해 주다.
[1]「3」미리 알려 주다.
[1]「4」어떤 사람의 잘못을 윗사람에게 말하여 알게 하다.
[2]어떤 대상을 무엇이라고 이름 붙이거나 가리켜 말하다.
[3]책이나 속담 따위에 예부터 말하여지다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이르다,형용사,고유어,,대중이나 기준을 잡은 때보다 앞서거나 빠르다.,,대중이나 기준을 잡은 때보다 앞서거나 빠르다.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,이리,부사,고유어,,이곳으로. 또는 이쪽으로.,,이곳으로. 또는 이쪽으로.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,이리로,부사,고유어,,‘이리03’를 강조하여 이르는 말.,,‘이리03’를 강조하여 이르는 말.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,이리저리,부사,고유어,,일정한 방향이 없이 이쪽저쪽으로.,,일정한 방향이 없이 이쪽저쪽으로.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,이리하다,동사,고유어,,이렇게 하다.,,이렇게 하다.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
