순위,단어,품사,품사 이름,품사 (일본어),풀이（意味）,등급
9372,초저녁,명,명사,名詞,初-,C
2147,초점,명,명사,名詞,焦點,C
6498,초조하다,형,형용사,形容詞,焦燥-,C
4563,초청,명,명사,名詞,招請,C
9812,초청장,명,명사,名詞,招請狀,B
5826,초청하다,동,동사,動詞,招請-,C
8235,초콜릿,명,명사,名詞,chocolate,A
9813,촌스럽다,형,형용사,形容詞,村-,C
8952,촛불,명,명사,名詞,,C
2670,총,"명, 관","명사, 관형사","名詞, 冠形詞","銃, 總",C
4742,총각,명,명사,名詞,總角,C
2946,총리,명,명사,名詞,總理,C
1801,총장,명,명사,名詞,總長,B
2120,촬영,명,명사,名詞,撮影,B
587,최고,명,명사,名詞,最高,B
8238,최고급,명,명사,名詞,最高級,C
278,최근,명,명사,名詞,最近,B
1468,최대,명,명사,名詞,最大,B
3251,최대한,명,명사,名詞,最大限,C
8239,최상,명,명사,名詞,最上,C
2612,최선,명,명사,名詞,最善,B
14932,최소,명,명사,名詞,最小,C
2168,최소한,명,명사,名詞,最小限,B
5981,최신,명,명사,名詞,最新,C
8240,최악,명,명사,名詞,最惡,C
6907,최저,명,명사,名詞,最低,C
3020,최종,명,명사,名詞,最終,C
1175,최초,명,명사,名詞,最初,B
5061,최후,명,명사,名詞,最後,C
3091,추가,명,명사,名詞,追加,C
10280,추가되다,동,동사,動詞,追加-,C
10822,추가하다,동,동사,動詞,追加-,C
2426,추다,동,동사,動詞,춤을 ~,A
4242,추석,명,명사,名詞,秋夕,C
2752,추억,명,명사,名詞,追憶,B
3504,추위,명,명사,名詞,,B
2224,추진,명,명사,名詞,推進,C
1403,추진하다,동,동사,動詞,推進-,C
6707,추천,명,명사,名詞,推薦,C
8579,추천하다,동,동사,動詞,推薦-,C
7930,추측,명,명사,名詞,推測,C
1317,축구,명,명사,名詞,蹴球,A
16227,축구공,명,명사,名詞,蹴球-,B
21959,축구장,명,명사,名詞,蹴球場,C
3892,축소,명,명사,名詞,縮小,C
2562,축제,명,명사,名詞,祝祭,B
5982,축하,명,명사,名詞,祝賀,B
4656,축하하다,동,동사,動詞,祝賀-,A
6149,출구,명,명사,名詞,出口,B
8242,출국,명,명사,名詞,出國,C
4470,출근,명,명사,名詞,出勤,B
5420,출근하다,동,동사,動詞,出勤-,B
2881,출발,명,명사,名詞,出發,B
5827,출발점,명,명사,名詞,出發點,C
1982,출발하다,동,동사,動詞,出發-,A
