韓国語,品詞,日本語訳,定義,target_codes
감,名詞,かき【柿】,丸かったり、平たく丸みのある模様で、熟す前は渋いが、熟すと甘い味がするだいだい色の果物。,70707
감기,名詞,かぜ【風邪】。かんぼう【感冒】,一般的に咳・鼻水・頭痛・悪寒などの症状がある、伝染性のある疾病。,28635
감기약,名詞,かぜぐすり【風邪薬】。かんぼうやく【感冒薬】,風邪を治療するのに用いる薬。,17216
감다,動詞,とじる【閉じる】。つぶる・つむる【瞑る】 | あらう【洗う】,まぶたで目を覆う。 | 髪や体を水で洗う。,"45747,17220"
감사,名詞,かんしゃ【感謝】,ありがたいと思うこと。また、その気持ち。,46944
감사하다,動詞/形容詞,かんしゃする【感謝する】 | かんしゃする【感謝する】,ありがたいと思う。 | ありがたい気持ちがある。,"71728,63820"
감상,名詞,かんそう【感想】,物事について心に感じたことや思ったこと。,14239
감자,名詞,ジャガイモ。ポテト,殻は薄い茶色で中身は薄い黄色である、地中で育つ丸い塊模様の幹。,85863
갑자기,副詞,きゅうに【急に】,考える間もなくいきなり。,26797
값,名詞,ね【値】。ねだん【値段】。かかく【価格】 | ね【値】。ねだん【値段】。かかく【価格】。あたい | だいきん【代金】。りょうきん【料金】。だい【代】 | あたい【値】 | あたい【値】 | ね【値】。ねうち【値打ち】。かち【価値】 | そうおう【相応】 | だい【代】。りょう【料】 | あたい【値】 | であれ。であっても,売買する物に一定につけられた金額。 | 物の売り買いでやり取りする金。 | ある事を行ったことによって受け取る代価。 | 一定の数値。 | 数学での数、または計算して出た数。 | ある物事の価値や重要性。 | ある物事に合致する価値や役割。 | 価格、代金、費用を表す語。 | 数値を示す語。 | 前の内容を仮定したり認めたりするが、後ろの内容とは関係がなかったり、影響を与えないことを意味する語。,20178
강,名詞/依存名詞,かわ【河・川】。たいが【大河】。かせん【河川】 | きょう【強】,海に入り込む広くて長い水の流れ。 | 一定の範囲内に入る強者。,"30203,600479"
강냉이,名詞,とうもろこし | カンネンイ,茎が高くて葉は長く、ひげのような花が咲き、粒が細かい実のなる植物。 | お菓子のように乾燥したとうもろこしの実をはじけさせて膨らませたもの。,17535
강아지,名詞,こいぬ【子犬】。いぬころ【犬ころ】,犬の子。 | 親や祖父、祖母が子供や孫を可愛がって呼ぶ言葉。,15689
강하다,形容詞,つよい【強い】 | つよい【強い】 | つよい【強い】 | つよい【強い】 | つよい【強い】 | つよい【強い】,物が硬くて強固だ。 | 性格がまっすぐで頼もしい。 | 力が強い。 | 水準や程度が高い。 | 精神的にしっかりしていて意志を曲げない。 | 何かに耐える力が強く、ことに対処する能力に優れている。,"22718,64002"
