韓国語,品詞,日本語訳,定義,target_codes
실례되다,動詞,しついれいする【失礼する】,言葉や行動が礼儀に外れるようになる。,78458
실례하다,動詞,しつれいする【失礼する】,言葉や行動が礼儀に外れる。,66284
실수,名詞,あやまり【誤り】。しっぱい【失敗】。まちがい【間違い】。ミス。ミステーク | しつれい【失礼】,よく分からなかったり、十分気をつけていなくて間違えをおかすこと。またその間違え。 | 言葉や行動が礼儀に外れること。また、その言葉や行動。,64947
실수하다,動詞,あやまる【誤る】。しっぱいする【失敗する】。まちがえる【間違える】。ミスする。ミステークする | しつれいする【失礼する】,よく分からなかったり不注意で過ちを犯す。 | 礼儀に外れた言動をする。,14092
실패,名詞,しっぱい【失敗】,願ったり目的としたことを成せないこと。,64948
실패하다,動詞,しっぱいする【失敗する】 | しっぱいする【失敗する】,物事をやりそこない思い通りに行かなかったり台無しにする。 | 願ったり目的としたことを成せない。,71283
싫다,形容詞,いやだ【嫌だ】。きらいだ【嫌いだ】 | いやだ【嫌だ】。きがむかない【気が向かない】,気に入らない。 | やりたくない。,57271
싫어지다,動詞,いやになる【嫌になる】。きらいになる【嫌いになる】,気に入らなくなる。,16244
싫어하다,動詞,いやがる【嫌がる】。きらう【嫌う】,何かが気に入らなかったり、ほしくない。,64963
심다,動詞,うえる【植える】 | うえつける【植え付ける】 | うえる【植える】 | おくりこむ【送り込む】 | うえる【植える】。いれる【入れる】,草や木などの根や種を地中に埋める。 | （比喩的に）ある考えや感情を心にしっかり刻みつける。 | （比喩的に）社会に新しい思想や文化を伝え、根付かせる。 | （比喩的に）将来のことを考えて、味方を相手の方に予め送る。 | ある物を一定の対象や枠にはめる。,64968
심심하다,形容詞,たいくつだ【退屈だ】。つまらない【詰まらない】,やることがなくて、楽しくない。,16445
심하다,形容詞,ひどい。はげしい【激しい】。きつい。すごい,度を超している。,65046
십,数詞/冠形詞,じゅう【十】 | じゅう・とお【十】 | じゅうばんめ【十番目】,9に1を足した数。 | 十の。 | 十番目の。,"28847,89595"
십만,数詞/冠形詞,じゅうまん【十万】 | じゅうまん【十万】,1万の10倍となる数。 | 1万の10倍となる数の。,"93501,65680"
십이월,名詞,じゅうにがつ【十二月】,1年12ケ月の中で最終の月。,27764
십일월,名詞,じゅういちがつ【十一月】,1年12ケ月の中で11番目の月。,57272
싱겁다,形容詞,うすい【薄い】 | とんでもない | あっけない,食べ物が塩辛くない。 | 言動が状況にふさわしくなく、とてつもない。 | 言動や文章などにおもしろみがなく、無味乾燥である。,16472
싱크대,名詞,ながしだい【流し台】,調理する材料や器などを洗う台所の家具。,66094
싶다,補助形容詞,たい | おもう【思う】 | おもう【思う】 | たい | おもう【思う】,前の言葉が表す内容を実行しようする意図や欲求があるという意を表す「補助形容詞」。 | 前の言葉が表す内容のように感じられたり考えられたりするという意を表す「補助形容詞」。 | 前の言葉が表す内容通りになることを心配する意を表す「補助形容詞」。 | 前の言葉が表す内容が叶うように願ったり、前の行動をする考えがあるという意を表す「補助形容詞」。 | 前の言葉が表す行動をしようとする漠然とした考えを持っているという意を表す「補助形容詞」。,62657
싸다,動詞/形容詞,つつむ【包む】 | かこむ【囲む】 | こしらえる【拵える】。にづくりする【荷造りする】 | やすい【安い】 | あたりまえだ【当たり前だ】。とうぜんだ【当然だ】,物や人を紙や布などの中に入れてすっかり覆う。 | 物や人を中に入れて、その周りを塞ぐ。 | ある物を他の所に運ぶために段ボール・紐・布などを用いて荷造りをする。 | 値段が普通より低い。 | 厳しい境遇に置かれても、やったことと比べたら、少しも残念でなく当たり前である。,"65049,29718"
싸우다,動詞,けんかする【喧嘩する】。あらそう【争う】。たたかう【戦う】。いさかう【諍う】 | たたかう【戦う】。あらそう【争う】。きそう【競う】 | たたかう【戦う】 | たたかう【戦う】,言葉や力で勝とうとする。 | 試合などで優劣をつけるために競争する。 | 何かを克服するために努力する。 | 何かを得たり成し遂げたりするために努力する。,29732
쌀,名詞,こめ【米】,飯を炊いて食べる、稲の殻を剥いた中身。,62094
쌀가게,名詞,こめや【米屋】,米や麦、豆、小豆などの穀物を売る店。,66110
쌀가루,名詞,こめのこ【米の粉】,米を挽いた粉。,66109
쌀쌀하다,形容詞,はださむい【肌寒い】。うすらさむい【うすら寒い】 | ひえびえとする【冷え冷えとする】。ひややかだ【冷ややかだ】。れいたんだ【冷淡だ】,やや寒く感じられるほど空気が冷たい。 | 人の性格や態度が冷たくて冷静だ。,66104
쌓다,動詞,つむ【積む】 | きずく【築く】 | つむ【積む】。きずく【築く】。たくわえる【蓄える】。ためる【貯める】 | きずく【築く】 | つむ【積む】 | きずく【築く】,物を次々と重ねる。 | 石などを次々と重ねて構造物を作る。 | 財産をたくさん集める。 | 基礎や土台を固める。 | 時間をかけて技術や経験、知識などを身につける。 | 名誉や信頼などを得る。,62095
썰다,動詞,きる【切る】。きざむ【刻む】,ナイフやのこぎりなどを、下の方に押しながら前後に動かし何かを切って複数の切れ端が出来る。,29774
쓰다,動詞/形容詞,かく【書く】 | かく【書く】 | かく【書く】 | つくる【作る】。かく【書く】 | かぶる【被る】 | かぶる【被る】。つける【付ける】。する | かぶる【被る】。あびる【浴びる】 | さす【差す】 | かぶる【被る】 | つかう【使う】。もちいる【用いる】。しようする【使用する】 | つかう【使う】。しようする【使用する】。やとう【雇う】 | つかう【使う】。もちいる【用いる】。にんようする【任用する】 | ふるまう【振る舞う】。もてなす【もて成す】。おごる【奢る】。する | つかう【使う】。ついやす【費やす】 | つかう【遣う】。つくす【尽くす】 | こねる【捏ねる】。しかめる【顰める】 | つかう【使う】 | つかう【使う】。りようする【利用する】 | つかう【使う】 | よい【良い】 | にがい【苦い】 | にがい【苦い】,鉛筆やペンなどの筆記用具で紙などに線をひいて文字をしるす。 | 頭の中の考えや感じなどを紙などに文字で表す。 | 願書や契約書など、書式のある文書を作成する。 | 浮かんできた曲を楽譜に音符で表す。 | 帽子やかつらなどを頭の上から覆う。 | 顔にある物をかけたり覆うように載せたりする。 | 埃や粉などを体全体に受ける。 | 傘や日傘などをかざす。 | 罪や冤罪を負わされる。 | 何かをするのに材料や道具、手段などを利用する。 | 金を与えて何かの働きをさせる。 | 職位や席に就かせて、仕事をさせる。 | 食事などでもてなしをしたり、食事代を払ってやったりする。 | 何かをするために時間や金を投入する。 | 何かをするために力を入れたり努力をしたりする。 | 理不尽なことを強く要求する。 | 体の一部を自由に動かす。 | ある建物や場所を一定期間使用する。 | ある言語で話す。 | 当然だったり正しかったりする状態になる。 | 薬の味のようだ。 | 気にかかることがあって、嫌で苦しい。,"65172,65173,71285,16488"
쓰레기,名詞,ごみ | くず【屑】,剥ぎ取ったほこり、または使えなくなって捨てる予定の物やすでに捨てた物。 | 道徳的に堕落した人を卑しめていう語。,29590
쓰레기장,名詞,ごみすてば【ごみ捨て場】,ごみを捨てるように決めておいたところ。,66442
쓰레기통,名詞,ごみばこ【ごみ箱】,ごみを入れたり集めておく箱。,65174
씨,依存名詞,し【氏】。さん,その人を高めて呼んだり指していう語。,58145
씹다,動詞,かむ【噛む】。そしゃくする【咀嚼する】 | けなす【貶す】。くさす【腐す】。そしる【謗る】 | じっくりとかんがえる【じっくりと考える】,人や動物が食べ物を口に入れて歯で細かく切ったり砕いたりする。 | 他人の行動や言葉を非難したり悪く言うことを俗にいう語。 | 人の言った言葉の意味をじっくりと繰り返し考える。,65972
씻다,動詞,あらう【洗う】。あらいおとす【洗い落とす】。ながす【流す】 | ぬぐう【拭う】。ふく【拭く】 | すすぐ【濯ぐ・雪ぐ】。きよめる【清める】 | はらす【晴らす】,汚れや汚いものを取り除いて、きれいにする。 | 表についたものが消えるように拭き取る。 | 汚名・誤解・罪・ミスなどの悪い事を完全に除き去る。 | 現在の良くない状態を完全に無くす。,17191
아,感動詞,あ。あら。や。おお。わあ | あ。あら。おお。わあ | あ。やれやれ | あ。ほら | あ。おお,驚き、うろたえ、焦りなどの感情を表す時に発する語。 | 喜びや感動を表す時に発する語。 | 心配、懸念、嘆きの感情を表す時に発する語。 | 呼びかけたり注意を引いたりする時に発する語。 | 知らなかったことに気付いた時に発する語。,16247
아가씨,名詞,おじょうさん【お嬢さん】 | おじょうさん【お嬢さん】,結婚していない若い女性。 | 未婚の義妹。 | 昔、結婚していない大家の娘。,65973
아기,名詞,あかんぼう【赤ん坊】。あかご【赤子】 | あかちゃん【赤ちゃん】,乳を飲んでいる時期の幼い子。 | 若い娘や嫁を親しみをこめていう語。 | 動物の子や小さい植物をいつくしんでいう語。,20235
아까,名詞/副詞,さっき。さきほど【先程】。すこしまえ【少し前】 | さっき【先】。さきほど【先程】。せんこく【先刻】,今から少し前の時。 | 少し前に。,"65974,65975"
아나운서,名詞,アナウンサー。アナ,ニュース報道・実況中継・司会などの放送を専門に担当する人。,65976
아내,名詞,つま【妻】。かない【家内】。にょうぼう【女房】,結婚して男性の配偶者になった女性。,30196
아뇨,感動詞,いいえ,目上の人からの質問に対し、否定の意を表して答える時にいう語。,65978
아니,副詞/感動詞,いや | いや。いえ。ううん | えー。えっ,用言の前について否定や反対の意を表す語。 | ある事実をさらに強調する時に使う言葉。 | 目下の人、または年齢や地位が同等な人からの質問に対して否定の意を表して答える時にいう語。 | 驚きや感嘆、または疑いや不審の気持ちを表す時にいう語。,"65980,65982"
아니다,形容詞,ではない | ではないだろう（か）,ある事実や内容を否定する意味を表す語。 | 問いかけや推測の意を表し、ある事実や内容を強く肯定する意を表す語。,26878
아니야,感動詞,いや,問いに対して強調しながら、または強く否定して答えるのに用いる語。,29726
아니요,感動詞,いいえ,目上の人の問いに対し、否定して答えるのに用いる語。,17189
아들,名詞,むすこ【息子】,男性である子供。,20240
아래,名詞,した【下】 | した【下】。しも【下】 | もと【下】 | つぎ【次ぎ】。かき【下記】,一定の基準より低い位置。 | 身分や年齢、地位などが低い方。 | 条件や影響などが及ぶ範囲。 | 文書などのあとにくる内容。,71288
아래위,名詞,じょうげ・うえした【上下】,上と下。,23084
아래쪽,名詞,したのほう【下の方】。かほう【下方】,下になる場所や方向。,71289
아르바이트,名詞,アルバイト。バイト。ないしょく【内職】,収入を得るために本業とは別の仕事を臨時にすること。,24506
아르바이트하다,動詞,アルバイトする。バイトする,収入を得るために本業とは別の仕事を臨時にする。,66815
아름다움,名詞,うつくしさ【美しさ】,美しい様子。,66822
아름답다,形容詞,うつくしい【美しい】。うるわしい【麗しい】 | うつくしい【美しい】。うるわしい【麗しい】,見える対象や声、色などが目と耳に楽しさや満足感を与えるくらいである。 | 行動や心遣いなどが立派である。,71290
아마,副詞,たぶん【多分】。おそらく【恐らく】,はっきりは言えないが、推測したり考えてみたりした時、そうなる可能性が高く。,71248
아메리카노,名詞,アメリカーノ,エスプレッソにお湯を加えたコーヒー。,600429
아무,代名詞/冠形詞,だれ【誰】 | なにがし・ぼう【某】 | どの。なんの【なんの】。なに【何】。どんな | なんら【何ら】。なんの【何の】。どんな,特定されていない人をさす語。 | 具体的な名前の代わりにある人をさす語。 | 特定されていない人や物事をさす語。 | まったく、どんな。,"71326,71327"
아무것,名詞,なに・なん【何】 | なにも【何も】,正確に決まっていない、ある物事。 | ある物事の少しか一部分。,58274
아무리,副詞,いくら【幾ら】。どんなに | いくら【幾ら】。どんなに,程度が甚だしく。 | たとえそうであっても。,71338
아버님,名詞,おとうさま【御父様】 | おとうさま【御父様】 | おとうさま【御父様】 | おとうさま【御父様】 | おとうさま【御父様】。おとうさん【お義父さん】 | おとうさま【御父様】。おとうさん【お義父さん】,自分を生んでくれた男性を指したり呼んだりする尊敬語。 | 子どもをもつ男性を、子供との関係を前提に指したり呼んだりする尊敬語。 | 自分を生んでくれた男性のように思う人を指したり呼んだりする尊敬語。 | 自分を生んでくれた男性と同じ年ごろの男性を、親しみをこめて指したり呼んだりする尊敬語。 | 夫の父親を親しみをこめて指したり呼んだりする尊敬語。 | 妻の父親を親しみをこめて指したり呼んだりする尊敬語。,71340
아버지,名詞,ちち【父】。ちちおや【父親】。おとうさん【御父さん】 | おとうさん【御父さん】 | おとうさん【御父さん】 | おとうさん【御父さん】 | ちち【父】 | ちち【父】,自分を生んでくれた男性。また、その人を呼ぶ語。 | 子どもをもつ男性を、子供との関係を前提に指したり呼ぶ語。 | 子どもの名前をつけて、自分の夫を指したり呼ぶ語。 | 自分の父親と同じ年ごろの男性。また、その人を呼ぶ語。 | 初めて達成したり完成したりした人を比喩的にいう語。 | キリスト教で、神様のことを親しんでいう語。,71343
아빠,名詞,パパ。おとうちゃん【お父ちゃん】 | おとうさん【お父さん】,くだけた場面で父親を指したり呼ぶ語。 | 主に子どもの名前の後ろにつけて、子どもをもつ男性を、子供との関係を前提に指したり呼ぶ語。,26148
아야,感動詞,いてっ | おっと。やっちゃった,突然痛みを感じた時に思わず口から出てくる声。 | 失敗をやらかしたことに気づいた時に出す声。,66854
아이,名詞,こ【子】。こども【子供】 | こ【子】。こども【子供】 | こ【子】。たいじ【胎児】。しんせいじ【新生児】。あかちゃん【赤ちゃん】,幼い者。 | 自分の産んだ子をへりくだっていう語。 | まだ生まれていないか、生まれたばかりの赤ちゃん。,62843
아이섀도,名詞,アイシャドー,目もとに発色の効果を出すための化粧品。,23235
아이스커피,名詞,アイスコーヒー,氷を入れて冷たくしたコーヒー。,23237
아이스케이크,名詞,アイスキャンディー,砂糖水に牛乳や果実汁などを混ぜ、中央部に細いスティック棒を差し込んで凍らせた菓子。,23234
아이스크림,名詞,アイスクリーム,砂糖や牛乳、果実汁などを入れて、クリーム状に凍らせて作った食べ物。,26886
아이스티,名詞,アイスティー,氷を入れて冷やした紅茶。,23120
아저씨,名詞,おじ【叔父・伯父】。おじさん【叔父さん・伯父さん】 | おじさん【小父さん】,親戚関係において、親の兄弟または親の従兄弟を指したり呼ぶ語。 | 他人同士で成人男性を指したり呼ぶ語。,26237
아주,副詞,ひじょうに【非常に】。とても。たいへん【大変】 | すっかり。かんぜんに【完全に】 | すこしも【少しも】。かんぜんに【完全に】,普通の程度をはるかに超えた状態で。 | ある行動や作用などがすでに行なわれてしまって、どうしよもない状態で。 | 少しも。または完全に。,72484
아주머니,名詞,おば【叔母・伯母】。おばさん【叔母さん・伯母さん】 | おばさん【小母さん】,親戚関係において、親の姉妹または親の従姉妹を指したり呼ぶ語。 | 他人同士で成人女性を指したり呼ぶ語。,89820
아줌마,名詞,アジュンマ。おばさん【小母さん】,他人同士で成人女性を軽くへりくだっていう語。,72485
아직,副詞,まだ【未だ】,あることや状態になるまでにさらに時間がかかるべきことを表す語。また、あることや状態が終わらずに続くことを表す語。,71254
아침,名詞,あさ【朝】 | あさめし【朝飯】。あさごはん【朝ご飯】,夜が明けて日が昇り一日が始まる頃までの時間。 | 朝、食べるご飯。,27368
아쿠아리움,名詞,アクアリウム,水中に住む生物を観察し、体験できるように作られた大型水族館。または、そのような水族館を備えた施設。,601372
아파트,名詞,マンション。アパート,大きい高層建物の内部を複数に区切り、それぞれを独立した住居として居住できるように建てた住宅。,29610
아프다,形容詞,いたい【痛い】。びょうきになる【病気になる】。いたむ【痛む】 | いたむ【痛む】。ぐあいがわるい【具合が悪い】。ちょうしがわるい【調子が悪い】 | なやましい【悩ましい】 | こころぐるしい【心苦しい】。つらい【辛い】,怪我をしたり病気になったりして、痛みや苦しみを覚える。 | 体のある部分を使いすぎて、疲れや苦しみを覚える。 | 解決し難い事や複雑な問題のために苦しい。 | 悲しみや哀れみのため、心が苦しい。,62239
아홉,数詞/冠形詞,く・きゅう・ここ・ここの【九】 | きゅう・く【九】,八に一を足した数。 | 8に1を足した数の。,"29609,88349"
아흔,数詞/冠形詞,きゅうじゅう【九十】 | きゅうじゅう【九十】,10の9倍となる数。 | 10の9倍となる数の。,"93507,58144"
악기,名詞,がっき【楽器】,音楽演奏のために使用される器具。,71368
안,名詞/副詞,なか【中】。ないぶ【内部】。うち【内】。おく【奥】 | ない【内】。なか【中】 | おく【奥】 | うらじ【裏地】 | かない【家内】 | なか【中】。じゅう【中】。ない【内】。うち【内】,ある物体や空間の内側。また、その部分。 | 一定の基準や限界を越えていない程度。 | 女主人が起居する部屋。 | 衣服の裏につける布地。 | 結婚して、ある男性の配偶者になった女性。 | 組織や国などを離れていない領域。 | 否定や反対の意を表す語。,"74890,71372"
안개,名詞,きり【霧】,地上の近くで水蒸気が凝結し、とても小さい水滴となって白く浮遊する現象。,14777
안경,名詞,めがね・がんきょう【眼鏡】,視力の悪い目がよく見えるようにしたり、風、日光などから守るために目に使う物。,31484
안경점,名詞,めがねや【眼鏡屋】。めがねてん【眼鏡店】,眼鏡やコンタクトレンズを製造したり販売したりする店。,66381
안내,名詞,あんない【案内】。おしらせ【お知らせ】 | あんない【案内】,ある内容を紹介して知らせること。また、その仕事。 | ある人がよく知らないところまでその人を連れて行ったり、その人が行こうとするところまで送ってあげること。,88853
안내되다,動詞,あんないされる【案内される】 | あんないされる【案内される】,ある内容が紹介されて知らされる。 | よく知らない場所に連れて行かれたり、行きたいところまで行くようになる。,66384
안내문,名詞,あんないぶん【案内文】。おしらせ【お知らせ】,ある内容を紹介して知らせる文書。,23344
안내인,名詞,あんないにん【案内人】。ガイド,案内をする人。,66386
안내하다,動詞,あんないする【案内する】 | あんないする【案内する】,ある内容を紹介して知らせる。 | ある人がよく知らないところまでその人を連れて行ったり、その人が行こうとするところまで送ってあげる。,72522
안녕,感動詞,げんき【元気】。げんきで【元気で】。さよなら。じゃあ。バイバイ,友人や目下の人と会った時や別れる時にいうあいさつの言葉。,17298
안녕하다,形容詞,あんねいだ【安寧だ】 | あんねいだ【安寧だ】,問題や心配事がなく安らかである。 | 元気で心が穏やかである。,72523
안녕히,副詞,あんねいに【安寧に】,問題や心配事なく安らかに。,28415
안다,動詞,だく【抱く】。いだく【抱く】 | かかえる【抱える】 | うける【受ける】 | かかえる【抱える】。おう【負う】。はらむ【孕む】 | だく【抱く】 | いだく【抱く・懐く】 | いだく【抱く】。かかえる【抱える】。むく【向く】,両腕を広げて胸の方に引っ張ったり、胸でかかえ持ったりする。 | 両腕で自分の胸や頭、腹などを持つ。 | 風や雨、雪、日光などがまともに当たる。 | 損害や借り、または責任などを持つ。 | 鳥が卵をかえすために胸や腹で卵を覆う。 | 考えや感情を持つ。 | 壁や山などに面している。,72225
안되다,動詞,できない。ならない | せいこうできない【成功できない】 | およばない【及ばない】,事や現象などがうまくいかない。 | 人が立派にならない。 | 期待していたり満足できるほどの水準や程度に達していない。,73915
안전,名詞,あんぜん【安全】,危険が生じたり事故が発生する可能性がないこと。またそのような状態。,71373
안전하다,形容詞,あんぜんだ【安全だ】,危険が生じたり事故が発生する可能性がない。,71374
안쪽,名詞,うちがわ【内側】。ないぶ【内部】。ないめん【内面】 | みまん【未満】,中の方。また、中の部分。 | ある数量や基準を満たしていない程度。,73063
앉다,動詞,すわる【座る】。かける【掛ける】。つく【着く】。こしをおろす【腰を下ろす】 | とまる【止まる】 | かまえる【構える】。たつ【建つ】 | つく【就く】。すわる【座る】 | たまる。つく | つく。はえる【生える】 | だまる【黙る】,上半身をまっすぐにした状態で、尻に体重を乗せて、他の物や床に腰を下ろす。 | 飛び回る動物や飛行機などが、一定の場所で他のものの上に自分の体を置く。 | 建物や家などが一定の方向や場所に佇んでいる。 | ある地位や場を占める。 | 空気中の埃のように、小さいものが他のものの上に積もる。 | ある物が物体の上に覆いかぶさったり生えたりする。 | ある事に積極的に乗り出さず、静かにしている。,71463
않다,補助動詞/補助形容詞,ない。しない | くない。でない,前の語の意味する行動を否定するのに用いる「補助動詞」。 | 前の語の意味する状態を否定するのに用いる「補助形容詞」。,"71581,71583"
알다,動詞,しる【知る】。わかる【分かる】。りかいする【理解する】 | わかる【分かる】。さとる【悟る】。きづく【気づく】。にんしきする【認識する】 | しる【知る】。かんじる【感じる】 | しる【知る】。わきまえる【弁える】 | できる | しる【知る】 | しる【知る】。けいけんする【経験する】 | しる【知る】。たいせつにおもう【大切に思う】 | わかる【分かる】。かしこまる。うけたまわる【承る】 | しりあう【知り合う】。つきあう【付き合う】 | おもう【思う】。かんがえる【考える】 | おもう【思う】。かんがえる【考える】,教育・経験・思考などを通じ、事物や状況への情報または知識を備える。 | ある事実や状況について、意識や感覚で分かったり感じたりする。 | ある心理的な状態を心の中で悟ったり感じたりする。 | ある事をどのようにするかを自ら決めたり判断したりする。 | ある事を行うことのできる能力や技を持っている。 | ある事にかかわって参加したり関心を持ったりする。 | よく知らなかった対象の良い点に気づき、近づこうとする。 | ある人や物を大切に思う。 | 相手の命令や要請に対し、その通りにするという同意を表す語。 | 前に会ったことがあったり、付き合いがあったりして、仲良く過ごす。 | ある事物や人を判断したり思ったりする。 | ある事実を判断したり思ったりする。,89445
알람,名詞,アラーム,あらかじめ設定しておいた時刻に鳴るか、危険等を知らせる装置、または音。,601379
알리다,動詞,しらせる【知らせる】 | しらせる【知らせる】 | しらせる【知らせる】,知らなかったことや忘れていたことを知るようにする。 | 他人に何かを紹介して、その人が知るようにする。 | ある事実や現象を表したり表示したりする。,29770
알맞다,形容詞,ほどよい【程好い】。てきとうだ【適当だ】,一定の基準や条件、程度に過不足なく一致して、ちょうどよい状態である。,71501
알바,名詞,アルバイト。バイト。ないしょく【内職】,「아르바이트(アルバイト)」の略語で、収入を得るために本業とは別の仕事を臨時にすること。,601381
알아보다,動詞,しらべる【調べる】 | みわける【見分ける】。しきべつする【識別する】 | みおぼえる【見覚える】。わかる【分かる】 | みとめる【認める】。みぬく【見抜く】 | さがす【探す】,知らないことを知るために観察したり調査したりする。 | 見て区別して分かる。 | 忘れずに記憶している。 | 人の能力や物の価値などを認定する。 | 仕事を見つけようとする。,16080
알약,名詞,じょうざい【錠剤】,粉薬を固め、小さい球状に圧縮した薬。,66783
알파벳,名詞,アルファベット,ヨーロッパとアメリカで使う言語を表記するローマ字の字母表。,66644
앞,名詞,まえ【前】。ぜんめん【前面】 | まえ【前】。せんとう【先頭】。ぜんれつ【前列】 | まえ【前】。いぜん【以前】。せんぱん【先般】 | さき【先】。こんご【今後】。みらい【未来】。しょうらい【将来】 | まえ【前】 | わけまえ【分け前】 | まえ【前】 | あて【宛て】。みもと【御許】,向かっている方向・所。 | 順番や並んでいる列で前の方。 | すでに過ぎ去った時間。 | 近づいてくる時間。 | 体や物体の前の部分。 | 順々に回ってきたりして受け持つ分担・分け前。 | ある環境や条件に置かれた状態。 | 送り先・差出先を示す語。,88648
앞쪽,名詞,まえのほう【前の方】。ぜんぽう【前方】,前に向かう方向。,71505
애,名詞,こ【子】。こども【子供】 | こ【子】。こども【子供】 | こ【子】。こども【子供】,幼い者。 | 自分の子女をへりくだっていう語。 | まだ生まれていなかったり生まれたばかりの赤ん坊。,73967
애인,名詞,こいびと【恋人】,互いに愛し合っている関係にある人。,73134
액션,名詞,アクション,俳優が特定の演技をするために取る行動。,66733
앨범,名詞,アルバム | アルバム,写真を貼り付けたり差し入れたりして保存できるように作った本。 | 複数の歌や演奏曲などをまとめて収めたCDやテープなどのもの。,14284
앱,名詞,アプリ,「애플리케이션(アプリケーション)」の略語で、スマートフォンやパソコンなどのオペレーティングシステムで実行されるように開発された応用プログラム。,601387
야,感動詞,やあ。おや | やあ。おい,驚いた時や誰かに会ってうれしい時に出す声。 | 大人が子供を呼ぶ時や、年齢の差があまりない人同士で相手を呼びかける時にいう語。,58149
야구,名詞,やきゅう【野球】。ベースボール,9人編成の2チームが攻撃と守備を交替しながら、相手チームの投手の投げるボールをバットで打ち、四つの塁を回ってきて得点するスポーツ競技。,62512
야구공,名詞,やきゅうボール【野球ボール】,野球競技に使うボール。,601176
야채,名詞,やさい【野菜】。あおもの【青物】。そさい【蔬菜】,畑で栽培し、その葉や茎、実を食用とする農作物。,90066
약,名詞/冠形詞,いかり【怒り】 | くすり【薬】 | やくひん【薬品】。やくざい【薬剤】 | くすり【薬】 | くすり【薬】 | でんち【電池】。かんでんち【乾電池】 | くすり【薬】 | やく【約】。およそ,からかわれたりして、腹が立つ感情。 | ある植物が育つ時の辛みや苦みなど、刺激的な性質。 | 病気や傷などの治癒や予防に、飲んだり塗ったり注射したりする物質。 | 有害な虫や動植物を駆除するために使う物質。 | 物につやを出すために塗る物質。 | （比喩的に）麻薬や酒。 | カメラ・ラジオ・懐中電灯などに使う、電気を起す小さいもの。 | （比喩的に）体や心のためになる物事。 | ある数量に近接しているさま。,"14292,72379,58164"
약간,名詞/副詞,じゃっかん【若干】。いくらか【幾らか】。たしょう【多少】 | じゃっかん【若干】。たしょう【多少】。すこしばかり【少しばかり】,数量がそれほど多くないこと。 | それほど多くない数量で。また、いくらか。,"90069,90070"
약국,名詞,やっきょく【薬局】。くすりや【薬屋】,薬剤師が薬を調剤したり、また医薬品を販売する場所。,28647
약사,名詞,やくざいし【薬剤師】,医薬品の調剤や販売などの仕事を職業とする人。,91379
약속,名詞,やくそく【約束】,他人と一定の行動をすることを前もって決めること。また、そう決めた内容。,36695
약속되다,動詞,やくそくされる【約束される】,一定の行動をすることが前もって決められる。,91970
약속하다,動詞,やくそくする【約束する】,他人と一定の行動をすることを前もって決める。,71584
약하다,形容詞,よわい【弱い】 | よわい【弱い】 | よわい【弱い】。もろい【脆い】 | よわい【弱い】 | よわい【弱い】,力が少ない。 | 丈夫でない。 | 覚悟や意志などが固くない。 | 耐える力に乏しい。 | 能力や知識、技術などが足りなかったり低かったりする。,71619
얇다,形容詞,うすい【薄い】 | うすい【薄い】 | うすい【薄い】。あさい【浅い】 | あさい【浅い】。あさはかだ【浅はかだ】,厚みが少ない。 | 重なっている物の高さや集団の大きさが普通の程度に及ばない。 | 色が濃厚でない。 | 見え透くほど思慮が足りない。,89859
양말,名詞,くつした【靴下】,糸や布地で作られ、足の保護や防寒などのために足に履くもの。,62513
양복,名詞,スーツ。せびろ【背広】,成人男性の西洋風の正装。,73257
양식,名詞,ようしょく【洋食】。せいようりょうり【西洋料理】,スープやステーキなどのような、西洋風の料理や食事。,14324
양치질,名詞,はみがき【歯磨き】,歯を磨いて、水で口の中をゆすぐこと。,67240
얕다,形容詞,あさい【浅い】。ひくい【低い】 | あさい【浅い】 | あさい【浅い】 | あさい【浅い】,表面から底まで、または外側から奥までの距離が短い。 | 思慮深くない。 | 水準や程度が低い。 | 時間があまり経過していない。,14329
얘기,名詞,はなし【話】 | はなし【話】。かいわ【会話】 | はなし【話・噺・咄】。つくりばなし【作り話】。ものがたり【物語】 | はなし【話】。ひょうばん【評判】,ある事実・状態・現象・経験・考えなどについて誰かに話す言葉。 | 他の人と交わす言葉。 | ある事実や実在しないことを事実のように面白く作り上げた事柄。 | ある物事について噂をしたり、判断をしたりする言葉。,74194
얘기되다,動詞,はなされる【話される】。かたられる【語られる】。のべられる【述べられる】 | はなされる【話される】。かたられる【語られる】。ものがたられる【物語られる】 | はなされる【話される】。ひょうかされる【評価される】 | はなしあわれる【話し合われる】,ある事実・状態・現象・経験・考えなどについて誰かに話す言葉や文章になる。 | ある事実や実在しないことが事実のように面白く作り上げられて言葉で表現される。 | ある物事について噂が広がったり、判断されたりする。 | ある問題に対する意見が一致する。,67259
얘기하다,動詞,はなす【話す】。かたる【語る】。のべる【述べる】 | はなす【話す】。はなしあう【話し合う】 | はなす【話す】。かたる【語る】。ものがたる【物語る】 | いう【言う】。ひょうかする【評価する】,ある事実・状態・現象・経験・考えなどについて誰かに言う。 | 他の人と言葉を交わす。 | ある事実や実在しないことを事実のように面白く作り上げて言葉で表現する。 | ある物事について噂をしたり、判断をしたりする。,74202
