word,pos,meaning,definition,target_code
교사,명사,きょうし【教師】,幼稚園、小学校、中学校、高校などで、資格を持って生徒を教える人。,24037
교수,명사,きょうじゅ【教授】,学問や技術などを教える行為。またはその方法。,31684
교실,명사,"きょうしつ【教室】
","幼稚園・小学校・中学校・高校で、教師が生徒を教える部屋。
",64472
교육,명사,きょういく【教育】,個人の能力を育てるため、知識・教養・技術などを教えること。,55289
교육되다,동사,きょういくされる【教育される】,"知識・教養・技術などを教わって能力が高まる。
",32476
교육하다,동사,きょういくする【教育する】,"個人の能力を育てるため、知識・教養・技術などを教える。 
",35126
교통,명사,"こうつう【交通】。つうこう【通行】
","自動車・汽車・船・飛行機などの乗り物を利用して人や物資が行き来すること。
",64469
교통비,명사,こうつうひ【交通費】。うんちん【運賃】。のりちん【乗り賃】,交通機関を利用するのにかかる費用。,35967
교통사고,명사,"こうつうじこ【交通事故】
",自動車や汽車などが他の交通機関と衝突したり歩行者を跳ねたりして起こる事故。,35968
교통 카드,,こうつうカード【交通カード】	,"バスや地下鉄などの公共交通機関などを利用する場合、料金を払うために使うカード。
",36003
교환,명사,こうかん【交換】,何かを別のものと取り替えること。,37628
교환되다,동사,こうかんされる【交換される】,"何かが別のものと取り替えられる。
",43494
교환하다,동사,こうかんする【交換する】,"何かを別のものと取り替える。
",24078
교회,명사,"きょうかい【教会】
",イエスキリストを救世主として信奉する人々の共同体。また、その人々が集まって活動する場所。,64370
교회 음악,,きょうかいおんがく【教会音楽】。キリストきょうおんがく【キリスト教音楽】	,"キリスト教で歌われ、演奏されるすべての音楽。
",37636
구,명사,く【句】,2つ以上の単語が集まって文の一部分をなす言葉の単位。,37645
구,명사,"く【区】
","特別市・広域市および人口50万以上の大都市の洞の上の行政区域単位。
",24085
구,수사,きゅう・く【九】	,"8に1を足した数。
",34882
구,관형사,きゅう【九】,9の。,34898
구경,명사,"けんぶつ【見物】
","興味や関心を持って見ること。
",64484
구경하다,동사,けんぶつする【見物する】,"興味や関心を持って見る。 
",62355
구두,명사,くつ【靴】,スーツを着る時に履く革やビニールなどで作られた履き物。,26805
구름,명사,くも【雲】,空気中の小さい水滴や氷晶が白や灰色で集まって、空中に浮かんでいるもの。,64487
구십,수사,きゅうじゅう・くじゅう【九十】	,"10の9倍になる数。
",28637
구십,관형사,きゅうじゅうの【九十の】	,"九十になるさま。
",89598
구월,명사,くがつ【九月】,"1年12ケ月の中で9番目の月。
",20190
귀,명사,"みみ【耳】
","人や動物の頭部の左右にあって、音を聞く身体の一部分。
",60201
귀걸이,명사,みみかざり【耳飾り】。イヤリング。ピアス,耳につける装身具。,38146
귀고리,명사,みみかざり【耳飾り】。イヤリング。ピアス,耳につける装身具。,38158
귀여워하다,동사,かわいがる【可愛がる】,"自分より幼い人や動物を可愛いと思ってやさしく扱う。
",38317
귀엽다,형용사,かわいい【可愛い】,見た目がきれいで、愛らしい。,38323
귀찮다,형용사,めんどうだ【面倒だ】,嫌で、厄介だ。,37050
규칙,명사,きそく【規則】,多くの人が守るように決めておいた法則。,35269
그,대명사,かれ【彼】,話し手や聞き手を除いた人をさす語。,62250
그,관형사,その	,"空間的に聞き手に近い人や物、または聞き手が考えている対象をさすときに使う語。
",43883
그거,대명사,それ,"聞き手に近いものや、聞き手が考えているものをさす語。
",62251
그것,대명사,"それ
","聞き手に近いものや、聞き手が考えているものをさす語。
",31953
그곳,대명사,そこ	,"聞き手に近い場所をさす語。
",17207
그날,명사,そのひ【その日】,"前で言った日。
",36674
그냥,부사,"そのまま
","何もせず、そのまま。
",36241
그다음,명사,そのつぎ【その次】。そのあと･そのご【その後】,"あるものに続いてくる時や場所、順番。
",36250
그담,명사,そのつぎ【その次】。そのあと･そのご【その後】,"あるものに続いてくる時や場所、順番。
",36253
그대로,명사,そのまま,それ自体。,93615
그동안,명사,そのあいだ・そのかん【その間】。あいま【合間】,"すでに話した分だけの期間。また、再び会ったり連絡するまでの一定の期間。
",60236
그때,명사,そのとき【その時】。そのじき【その時期】,"前述のある時。
",29683
그래,감탄사,そう,「そうする。そうである。わかった」などという肯定の返事をする時にいう語。,27656
그래서,부사,,"前の内容が後ろの内容の原因、または根拠、条件などになる時に用いる語。
",61169
그램,의존 명사,グラム,重量の単位。,36267
그러나,부사,"しかし
","前の内容と後ろの内容が互いに反対になる時に用いる語。
",62263
그러니까,부사,それゆえ【それ故】,そのような理由で。または、そんなわけで。,58609
그러면,부사,"だったら
","前の内容が後ろの内容の条件になる時に用いる語。
",58276
그러므로,부사,"だから
","前の内容が後ろの内容の理由や原因、根拠になる時に使う語。
",36276
그런,관형사,そんな。そのような。そうした。そういう	,"状態・模様・性質などがそのようなさま。
",60341
그런데,부사,"しかし
","話題を前の内容と関連づけて他の方向に変える時に用いる語。
",70717
그럼,부사,"それなら。ならば
","前の内容が後ろの内容の条件になる時に用いる語。
",60346
그럼,감탄사,そうだとも。そうとも。もちろん。たしかに【確かに】,言うまでもなく当然だという意味で答える時にいう語。,62277
그렇다,형용사,そのとおりだ,状態、形、性質などがそれと同じである。,61178
그렇지만,부사,"しかし
","先に話した内容と対立する内容を表し、それが事実であるけれども。
",70718
그루,의존 명사,ほん【本】。かぶ【株】,樹木を数える単位。,36296
그릇,명사,"うつわ【器】。しょっき【食器】。いれもの【入れ物】
","食べ物を盛る道具。
",31674
그리고,부사,"そして
","前の内容に続いて後ろの内容を単純に並べる時に用いる語。
",62240
그리기,명사,"えかき【絵描き・絵書き】。かいが【絵画】
",絵をかくこと。,36303
그리다,동사,かく・えがく【描く】,"鉛筆や筆などを利用して、線や色で物を表す。
",57277
그림,명사,え【絵】。かいが【絵画】,線や色彩で事物の模様やイメージなどを平面上に表したもの。,29687
그림엽서,명사,えはがき【絵葉書】,"片面に絵や写真があるはがき。
",30713
그림일기,명사,えにっき【絵日記】,主に子供が書く、絵や文章で表す日記。,30717
그립다,형용사,なつかしい【懐かしい】,とても会いたい。,37070
그만,부사,ここまで,もうこのぐらいまで。,36428
그만두다,동사,やめる【止める・辞める】,"やっていることを中断する。
",62318
그분,대명사,そのかた【その方】。あのかた【あの方】,その人やあの人を深い敬意をこめていう語。,60635
그저께,명사,おととい・いっさくじつ【一昨日】,昨日の前日。二日前。,37078
그저께,부사,おととい【一昨日】,昨日の前日。二日前に。,65920
그쪽,대명사,そちら。そっち。そちらがわ【そちら側】。むこう【向こう】	,"聞き手に近い場所や方向をさす語。
",17206
그치다,동사,やむ【止む】。とまる【止まる】,"続いていたこと、動き、現象などが続かなくなる。
",29775
그해,명사,そのとし【その年】,"過去のある年。
",31407
