word,pos,meaning,definition,target_codes
그대로,名詞,そのまま,それ自体。,93615
그동안,名詞,そのあいだ・そのかん【その間】。あいま【合間】,"すでに話した分だけの期間。また、再び会ったり連絡するまでの一定の期間。
",60236
그때,名詞,そのとき【その時】。そのじき【その時期】,"前述のある時。
",29683
그래,感嘆詞,そう,「そうする。そうである。わかった」などという肯定の返事をする時にいう語。,27656
그래서,副詞,,"前の内容が後ろの内容の原因、または根拠、条件などになる時に用いる語。
",61169
그램,依存名詞,グラム,重量の単位。,36267
그러나,副詞,"しかし
","前の内容と後ろの内容が互いに反対になる時に用いる語。
",62263
그러니까,副詞,それゆえ【それ故】,そのような理由で。または、そんなわけで。,58609
그러면,副詞,"だったら
","前の内容が後ろの内容の条件になる時に用いる語。
",58276
그러므로,副詞,"だから
","前の内容が後ろの内容の理由や原因、根拠になる時に使う語。
",36276
그런,冠形詞,そんな。そのような。そうした。そういう	,"状態・模様・性質などがそのようなさま。
",60341
그런데,副詞,"しかし
","話題を前の内容と関連づけて他の方向に変える時に用いる語。
",70717
극장,名詞,げきじょう【劇場】。しばいごや【芝居小屋】。えいがかん【映画館】。えんぶじょう【演舞場】,演劇や音楽、舞踊などを公演したり映画を上映するための施設を備えた場所。,31667
근처,名詞,"きんじょ【近所】。ちかく【近く】。きんぺん【近辺】。ふきん【付近】
","ある場所・物・人から近いところ。
",62061
글,名詞,"ぶん【文】。ぶんしょう【文章】。ぶんしょ【文書】。ぶんがく【文学】
","考えや事柄などの内容を文字で表したもの。
",59226
글쎄,感嘆詞,さあ,相手の質問や要求に対してはっきりしない態度を示す時にいう語。,29723
글쎄요,感嘆詞,そうですね,相手の質問や要求に対してはっきりしない態度を示す時にいう語。,60633
글쓰기,名詞,さくぶん【作文】。ものかき【物書き】。しっぴつ【執筆】。ちょじゅつ【著述】。ちょさく【著作】,"考えや事実などを文章で表現すること。
",64516
글씨,名詞,じ【字】。もじ【文字】。しょ【書】,書かれた字の形。,60239
글자,名詞,"じ【字】。もじ【文字】
","言葉を書き記す記号。
",62490
금방,副詞,"いまさっき【今さっき】
","すぐ直前に。
",34764
금요일,名詞,きんようび【金曜日】,月曜日を基準にした一週の第5日。,17289
기간,名詞,きかん【期間】,ある一定の時から、他の一定の時に至るまでの間。,71729
긴장,名詞,きんちょう【緊張】,気持ちを緩めず、気を引き締めること。,43863
긴장되다,動詞,きんちょうする【緊張する】,落ち着かず気を引き締めるようになる。,32539
긴장하다,動詞,きんちょうする【緊張する】,落ち着かず気を引き締めている。,62359
길,名詞,みち【道・路】。どうろ【道路】,人や車などが通行できるように地上に一定の幅で長く続いている空間。,59251
길다,形容詞,ながい【長い】,物体の端からもう片方の端までとても離れている。,26808
길어지다,動詞,ながびく【長引く】,"長くなる。
",32540
길옆,名詞,みちばた【道端】。ろぼう【路傍】,道の両側。,26366
길이,名詞,"ながさ【長さ】。たけ【丈】
","何かの端から別の端までの距離。
",62471
김,名詞,ざっそう【雑草】 | のり【海苔】,農作物に害を与える田畑の雑草。 | 暖かくきれいな海に生える海草の一種で、四角く薄く広げて乾かした黒色の食べ物。,"45118,45119"
김치,名詞,キムチ,白菜や大根などの野菜を塩に漬けた後、薬味を混ぜて発酵させて作った食べ物。,28818
깊다,形容詞,ふかい【深い】,上から底まであるいは外から内までの距離が長い。,45157
깊이,副詞,"ふかく【深く】
","上から底まで、または表面から中までの距離がとても遠く。
",45169
까만색,名詞,くろ【黒】。こくしょく【黒色】,光がない時の夜空や墨のような色。,32548
까맣다,形容詞,まっくろい【真っ黒い】,明かりがまったくない夜空のように濃い黒。,64358
깎다,動詞,むく【剥く】,"ナイフなどの道具で物の表面や果物などの皮を薄く剥がす。
",57278
깜짝,副詞,びっくり,急に驚くさま。,37744
깨끗이,副詞,きれいに,よごれがなく。,61076
깨끗하다,形容詞,きれいだ【綺麗だ】,"よごれがなく清潔だ。
",60323
깨다,動詞,さめる【覚める】,"酔っている状態などから、意識のはっきりした状態に戻る。
",62332
꺼내다,動詞,だす【出す】。とりだす【取り出す】。もちだす【持ち出す】,"中にある物を外に移す。
",62265
껌,名詞,ガム。チューインガム,"口の中で噛みながら甘い味や風味を楽しみ吐いて捨てる食べ物。
",41635
꼭,副詞,きっちり,何が何でも必ず。,48064
꽃,名詞,"はな【花】
","特有の形や色、香りがあり、幹の端についている植物の部分。また、それが咲く植物。
",62838
꽃구경,名詞,はなみ【花見】,美しく満開した花を見て楽しむこと。,600334
꽃구경하다,動詞,はなみをする【花見をする】,美しく満開した花を見て楽しむ。,600335
꽃다발,名詞,"はなたば【花束】
",花を何本か束ねたもの。,38220
꽃병,名詞,かびん【花瓶】。はないけ【花生け】。はないれ【花入れ】,花を挿しておく瓶。,38260
꽃집,名詞,はなや【花屋】。フラワーショップ,花や草花などの植物を売る店。,38277
꾸다,動詞,みる【見る】,"寝ている間、夢の中で実際のように見て、聞いて、感じる。
",62352
꿈,名詞,ゆめ【夢】,眠っている間に、起きている時のように見て聞いて感じる精神現象。,57279
끄다,動詞,けす【消す】,"燃えている火をなくならせる。
",73443
끊다,動詞,きる【切る】。たつ【絶つ・断つ】,糸、紐、綱など、つながっている物を分け離す。,62839
끓다,動詞,わく【沸く】,"液体が非常に熱くなって気泡がのぼりはじめる。
",62282
끓이다,動詞,わかす【沸かす】,"液体を気泡がのぼるほど熱くする。
",59474
끝,名詞,"おわり【終わり】。はて【果て】。さいご【最後】
","時間における最後の時。
",48072
끝나다,動詞,おわる【終わる】。すむ【済む】,"物事が最後までなされる。
",34734
끝내다,動詞,おえる【終える】。すます【済ます】,"物事を最後までなす。
",29692
끼다,動詞,はさむ【挟む】。さしこむ【差し込む】。はめる【填める】,"物と物との間に何かを入れて落ちないようにする。
",61097
나,代名詞,わたし【私】。ぼく【僕】。おれ【俺】。じぶん【自分】	,"話し手が友人や目下の人に対し、自分をさす語。
",60931
나가다,動詞,でる【出る】,"ある地域や空間の中から外へ移動する。
",71456
나누다,動詞,わける【分ける】。わる【割る】。ぶんかつする【分割する】,"一つにまとまっている物をいくつかの部分にする。
",29749
나다,動詞,できる【出来る】。はえる【生える】,"皮膚の表面や地上に出て来る。
",62210
나라,名詞,こっか【国家】,一定の領土、主権を持っている人々の社会的な組織。,29699
나머지,名詞,"あまり【余り】。よぶん【余分】。のこり【残り】。よじょう【余剰】
","ある量を満たした後、余った分。
",59230
나무,名詞,き【木・樹】。じゅもく【樹木】,しっかりした幹に枝と葉がついた、数年間にわたって育つ植物。,32750
낚시,名詞,"つりばり【釣り針】
","魚釣りに用いる先の尖った小さい道具。
",56098
낚시하다,動詞,さかなつりをする【魚釣りをする】,"魚釣り用の道具を使って、魚を釣る。 
",56998
날,名詞,"ひ【日】。ひにち【日日】
","夜12時から翌晩12時までの24時間。
",62254
날다,動詞,とぶ【飛ぶ】,空中に浮いた状態で、ある位置から他の位置に動く。,61530
날씨,名詞,てんき【天気】。きこう【気候】。てんこう【天候】。そらもよう【空模様】,その日その日の気温や空気中の雨、雲、風、霧などが発生する状態。,60630
날씬하다,形容詞,すらりとしている,スタイルがちょうど良いくらいに細くて長い。,40854
날짜,名詞,"ひにち【日にち】。にっすう【日数】
","日の数。
",58157
남,名詞,ひと【人】。たにん【他人】,自分ではなく、他の人。,28394
남-,接辞,"だんし【男子】。おとこの【男の】
","「男」の意を付加する接頭辞。

",73346
남기다,動詞,のこす【残す】。とりのこす【取り残す】。あます【余す】,"使い切らず、残るようにする。
",64371
남녀,名詞,だんじょ・なんにょ【男女】,男と女。,60628
남다,動詞,のこる【残る】。あまる【余る】,"使いきれず、残りが出る。
",64552
남동생,名詞,おとうと【弟】,年下の男性の兄弟。,26820
남산,名詞,ナムサン【南山】,ソウル特別市の中(チュン)区と龍山(ヨンサン)区の間に位置する山。,25261
남성,名詞,だんせい【男性】,出産できない性。また、その性を持つ大人になった人。,28806
남자,名詞,"おとこ【男】。だんし【男子】。だんせい【男性】
","男性として生まれた人。
",60865
남자 친구,,かれし【彼氏】。ボーイフレンド,恋人関係にある男性の友人。,37348
남자아이,名詞,だんじ【男児】,男の子。,92470
남쪽,名詞,みなみ【南】。みなみがわ【南側】,東西南北四つの方位の一つで、羅針盤のS極が指す方向。,63619
낫다,動詞/形容詞,なおる【治る】 | まさる【勝る】。ましだ,"病気や傷などが消えて元の状態に戻る。
 | あるものが他のものよりもっと良い。","62354,38524"
낮,名詞,"ひる【昼】。ひるま・ちゅうかん【昼間】。にっちゅう【日中】
","日の出から日の入りまでの間。
",64497
낮다,形容詞,ひくい【低い】,上から下までの間隔が短い。,58155
낮잠,名詞,ひるね【昼寝】。ごすい【午睡】,昼間寝ること。,41359
낳다,動詞,うむ【産む】。しゅっさんする【出産する】,"胎児や卵などを体外に出す。
",64391
내,代名詞,わたし【私】。ぼく【僕】。おれ【俺】。じぶん【自分】,一人称代名詞「나」に主格助詞「가」があとにつく場合の形。,41385
내과,名詞,ないか【内科】,主に薬品で内蔵器官の疾病を治療する医学分野。また、その分野の病医院。,28417
내년,名詞,らいねん【来年】。よくねん【翌年】。みょうねん【明年】。つぎとし【次年】,"今年のすぐ次の年。
",64517
내다,動詞,とおす【通す】。ひらく【開く】。つくる【作る】,"道や通路、窓などができるようにする。
",89906
내려가다,動詞,おりる【下りる】。くだる【下る】,"上から下へ行く。
",63723
내려오다,動詞,おりる【下りる】。くだる【下る】,"高い所から低い所へ、また上から下へ来る。
",64559
내리다,動詞,ふる【降る】,"雪や雨などが落ちて来る。
",73353
낼,名詞,あした・あす・みょうにち【明日】。よくじつ【翌日】,"今日の次の日。
",41161
냄비,名詞,なべ【鍋】,食べ物を沸かすときに使う窯より小さく、蓋と取っ手のある厨房道具。,41163
냄새,名詞,"におい【匂い・臭い】
","鼻で感じられるもの。
",58180
냉장고,名詞,"れいぞうこ【冷蔵庫】
",飲食物が腐らないようにするか冷やすために低温で保管する箱形の機械。,31524
너,代名詞,おまえ【お前】。きみ【君】	,"聞き手が友人か目下の人である場合、その聞き手をさす語。
",64390
