word,pos,meaning,definition,target_codes
거절하다,동사,"きょぜつする【拒絶する】。きょひする【拒否する】。ことわる【断る】。えんりょする【遠慮する】 ","人からの頼みや提案、贈り物などを受け入れない。 ",15847
거짓말하다,동사,うそをつく【嘘を付く】。いつわる【偽る】,事実でないことを事実であるように偽って言う。,20537
계산되다,동사,けいさんされる【計算される】。かんじょうされる【勘定される】,"数が数えられたり、足し算・引き算・掛け算・割り算などの勘定が行われたりする。
",26232
계산하다,동사,けいさんする【計算する】。かんじょうする【勘定する】,"数を数えたり、足し算・引き算・掛け算・割り算などの勘定をしたりする。
",62498
계속되다,동사,"つづく【続く】。けいぞくする【継続する】。れんぞくする【連続する】。じぞくする【持続する】 ","絶えることなく続いていく。
",17698
계속하다,동사,つづける【続ける】。けいぞくする【継続する】。れんぞくする【連続する】。じぞくする【持続する】,絶つことなく続けていく。,17727
계획되다,동사,けいかくされる【計画される】,"これからの事がじっくり考えられて決められる。
",23331
계획하다,동사,けいかくする【計画する】,"これからの事をじっくり考えて決める。
",62500
고르다,동사,えらぶ【選ぶ】。せんたくする【選択する】,"多くの中からある物を取り出す。
",19935
고민되다,동사,なやむ【悩む】,"心の中に悩み事があって苦しみ、思いわずらう。
",19227
고민하다,동사,なやむ【悩む】,"心の中に悩み事があって苦しみ、思いわずらう。
",19229
고치다,동사,なおす【直す】,"壊れたり使えなくなったりしたものを役に立つようにする。
",18381
교육되다,동사,きょういくされる【教育される】,"知識・教養・技術などを教わって能力が高まる。
",32476
교육하다,동사,きょういくする【教育する】,"個人の能力を育てるため、知識・教養・技術などを教える。 
",35126
교환되다,동사,こうかんされる【交換される】,"何かが別のものと取り替えられる。
",43494
교환하다,동사,こうかんする【交換する】,"何かを別のものと取り替える。
",24078
구경하다,동사,けんぶつする【見物する】,"興味や関心を持って見る。 
",62355
귀여워하다,동사,かわいがる【可愛がる】,"自分より幼い人や動物を可愛いと思ってやさしく扱う。
",38317
그리다,동사,かく・えがく【描く】,"鉛筆や筆などを利用して、線や色で物を表す。
",57277
그만두다,동사,やめる【止める・辞める】,"やっていることを中断する。
",62318
그치다,동사,やむ【止む】。とまる【止まる】,"続いていたこと、動き、現象などが続かなくなる。
",29775
기다리다,동사,まつ【待つ】,"人や時期が来たり、あることが行われたりするまで時間を過ごす。
",62264
기르다,동사,そだてる【育てる】。かう【飼う】。やしなう【養う】,"動植物に餌や養分をやって、保護して、成長させる。
",62242
기뻐하다,동사,よろこぶ【喜ぶ】,"楽しく快い気持ちになる。
",61533
기억나다,동사,おもいだす【思い出す】,"以前の姿、事実、知識、経験などが心や頭の中によみがえる。
",17229
기억되다,동사,きおくされる【記憶される】。おぼえられる【覚えられる】,"以前の姿、事実、知識、経験などが忘れられなかったり、再び思い出したりする。 
",32513
기억하다,동사,きおくする【記憶する】。おぼえる【覚える】,"以前の姿、事実、知識、経験などを忘れなかったり、再び思い出したりする。 
",62319
기침하다,동사,せきをする【咳をする】,肺からのどを通って空気が荒い音を出しながら急に出る。,38466
깨다,동사,さめる【覚める】,"酔っている状態などから、意識のはっきりした状態に戻る。
",62332
꺼내다,동사,だす【出す】。とりだす【取り出す】。もちだす【持ち出す】,"中にある物を外に移す。
",62265
꾸다,동사,みる【見る】,"寝ている間、夢の中で実際のように見て、聞いて、感じる。
",62352
끄다,동사,けす【消す】,"燃えている火をなくならせる。
",73443
끼다,동사,はさむ【挟む】。さしこむ【差し込む】。はめる【填める】,"物と物との間に何かを入れて落ちないようにする。
",61097
나가다,동사,でる【出る】,"ある地域や空間の中から外へ移動する。
",71456
나누다,동사,わける【分ける】。わる【割る】。ぶんかつする【分割する】,"一つにまとまっている物をいくつかの部分にする。
",29749
나다,동사,できる【出来る】。はえる【生える】,"皮膚の表面や地上に出て来る。
",62210
나오다,동사,でる【出る】,"中から外へ移動する。
",62233
나타나다,동사,あらわれる【現れる】,"見えなかった物の姿が見えるようになる。
",62286
내다,동사,とおす【通す】。ひらく【開く】。つくる【作る】,"道や通路、窓などができるようにする。
",89906
내려가다,동사,おりる【下りる】。くだる【下る】,"上から下へ行く。
",63723
내려오다,동사,おりる【下りる】。くだる【下る】,"高い所から低い所へ、また上から下へ来る。
",64559
내리다,동사,ふる【降る】,"雪や雨などが落ちて来る。
",73353
노래하다,동사,うたう【歌う】,歌詞のある音楽を声に出して歌う。,64513
노력하다,동사,どりょくする【努力する】。とりくむ【取り組む】。じんりょくする【尽力する】,"ある目的を成し遂げるために力を尽くして励む。
",64375
누르다,동사,おす【押す】。おさえる【押さえる・圧さえる】,"物の全体や部分に上から力を加える。
",72239
