word,pos,meaning,definition,tags,target_codes
감동,名詞,"かんどう【感動】。かんげき【感激】
","強く感じて心が動くこと。
",名詞 level2,70709
감동시키다,動詞,かんどうさせる【感動させる】,強く胸を打って心を動かさせる。,動詞 level2,18920
감동적,冠形詞/名詞,かんどうてき【感動的】 | かんどうてき【感動的】,強く胸を打たれ心を動かされること。 | 強く胸を打たれ心を動かされるさま。,冠形詞 名詞 level2,"15451,15449"
감동하다,動詞,かんどうする【感動する】,強く胸を打たれて、心が動かされる。,動詞 level2,18922
감별,名詞,かんべつ【鑑別】,よく調べてその価値や真偽を見分けること。,名詞 level2,14199
감별되다,動詞,かんべつされる【鑑別される】,よく調べられてその価値や真偽が見分けられる。,動詞 level2,14201
감별력,名詞,かんべつりょく【鑑別力】,よく調べてその価値や真偽を見分ける能力。,名詞 level2,14200
감별하다,動詞,かんべつする【鑑別する】,よく調べてその価値や真偽を見分ける。,動詞 level2,14202
감사장,名詞,かんしゃじょう【感謝状】,功労がある人に感謝の意を記して与える文書。,名詞 level2,14226
감사히,副詞,"ありがたく
","有難い気持ちで。
",副詞 level2,14231
감상,名詞,かんしょう【鑑賞】。かんしょう【観賞】。かんらん【観覧】,"芸術作品や景色などを楽しみ、理解して評価すること。
",名詞 level2,85862
감상문,名詞,かんそうぶん【感想文】,物事や現象を見たり聞いたりした後で感じたことを書いた文。,名詞 level2,14420
감상법,名詞,かんしょうほう【鑑賞法】,芸術作品や美しい対象を楽しみ、理解して評価する方法。,名詞 level2,14422
감상자,名詞,かんしょうしゃ【鑑賞者】,芸術作品の美しさを理解して楽しみ、評価する人。,名詞 level2,14428
감상하다,動詞,かんしょうする【鑑賞する】。かんしょうする【観賞する】。かんらんする【観覧する】,芸術作品や景色などを楽しみ、理解して評価する。,動詞 level2,59945
감상회,名詞,かんしょうかい【鑑賞会】,芸術作品の美しさを楽しみ、評価する会。,名詞 level2,14467
감색,名詞,かきいろ【柿色】,"完熟した柿の実の色に似た、黄色を帯びた赤い色。
",名詞 level2,27999
갑,名詞,"はこ【箱】。こばこ【小箱】。ケース
","物を入れる小さい箱。
",名詞 level2,14862
갑작스럽다,形容詞,"おもいがけない【思いがけない】。とつぜんだ【突然だ】。よきしない【予期しない】。ふいだ【不意だ】
","出来事が急に起こって意外だ。
",形容詞 level2,16188
갑작스레,副詞,"きゅうに【急に】・いきなり
","あることが急におこって意外な感じがするように。
",副詞 level2,23022
값비싸다,形容詞,こうかだ【高価だ】,値段が高い。,形容詞 level2,23028
값싸다,形容詞,やすっぽい【安っぽい】,物事を買うか使うのにかかる費用が少ない。,形容詞 level2,16179
갓길,名詞,ろかた・ろけん【路肩】,大きい道路や高速道路の両端に、故障した車や急に行かなくてはならない車のために造られた路面。,名詞 level2,23035
갓난아기,名詞,あかんぼう【赤ん坊】。あかご【赤子】。しんせいじ【新生児】,生まれて間もない赤ちゃん。,名詞 level2,23038
갓난아이,名詞,あかんぼう【赤ん坊】。あかご【赤子】。しんせいじ【新生児】,生まれて間もない赤ちゃん。,名詞 level2,85055
갓난애,名詞,あかんぼう【赤ん坊】。あかご【赤子】。しんせいじ【新生児】,生まれて間もない赤ちゃん。,名詞 level2,23039
강-,接辞,きょう【強】	,"「とても強い」または「ひどい」という意を付加する接頭辞。
",接辞 level2,72349
강가,名詞,かわべ【川辺】。かわぎし【川岸】。かわばた【川端】,"川の縁の土やその付近。
",名詞 level2,23041
강남,名詞,こうなん【江南】,川の南の地域。,名詞 level2,14853
강낭콩,名詞,いんげんまめ【隠元豆】,長いさやの中に白や桃色、茶色の細長い大きな豆が入っている植物。また、その豆。,名詞 level2,17489
강더위,名詞,もうしょ【猛暑】。むしあつさ【蒸し暑さ】,長い期間雨が降らず、強い日照りの蒸し暑さ。,名詞 level2,17515
강도,名詞,"こうど【硬度】。かたさ【硬さ】 | ごうとう【強盗】
","鉄類などの硬さと強さ。 | 暴行や脅迫などで他人の財物を奪う泥棒。
",名詞 level2,"20961,91524"
강도범,名詞,ごうとうはん【強盗犯】,暴力や脅迫などの強制的な手段で他人の金品を奪う罪を犯した人。,名詞 level2,20962
강도질,名詞,ごうとう【強盗】。おしこみ【押し込み】,強盗を働くこと。,名詞 level2,17517
강된장,名詞,カンテンジャン,テンジャンに牛肉やキノコなどを入れた後、ダシ汁で煮詰めたもの。,名詞 level2,17519
강물,名詞,"こうすい【江水】
","大河に流れる水。
",名詞 level2,62662
강바닥,名詞,かわぞこ【川底】,川の底。,名詞 level2,20974
강바람,名詞,かわかぜ【川風】,川の周りから吹いてくる風。,名詞 level2,17509
강변,名詞,かわべ【川辺】。かわぎし【川岸】,川の両側に接する地。,名詞 level2,15455
강북,名詞,こうほく【江北】,川の北側の地域。,名詞 level2,15457
강사,名詞,こうし【講師】 | こうし【講師】,講演会で講演をする人。 | 学校や塾などの授業で生徒・学生を教える人。,名詞 level2,"19179,16199"
강사진,名詞,こうしじん【講師陣】,講義をする人たち。,名詞 level2,19630
갖가지,名詞,いろいろ【色色】。さまざま【様様】。たよう【多様】,"色々。
",名詞 level2,15706
갖다주다,動詞,もってきてやる【持ってきてやる】。もってきてくれる【持ってきてくれる】,何かを持ってきてやる。または持って来てくれる。,動詞 level2,601033
갖추다,動詞,そなえる【備える】。ぐびする【具備する】。そろえる【揃える】,必要なものを作ったり、持ったりする。,動詞 level2,15709
같이하다,動詞,いっしょにする【一緒にする】。ともにする【共にする】,誰かとともに同じことをして時間を過ごす。,動詞 level2,15721
개고생,名詞,くきょう【苦境】。くなん【苦難】。くろう【苦労】,非常に厳しくてきつい苦労をすること。,名詞 level2,22829
개교,名詞,"かいこう【開校】
",学校を新設して運営を始めること。,名詞 level2,23121
개교기념일,名詞,かいこうきねんび【開校記念日】,毎年開校した日と同じ日に、学校を建てたことを記念する日。,名詞 level2,23751
개교식,名詞,かいこうしき【開校式】,学校を初めて建てた日を祝う行事。,名詞 level2,23731
개교하다,動詞,かいこうする【開校する】,学校を新設して運営を始める。また、学校が新設されて運営が始まる。,動詞 level2,23698
개구리,名詞,"かえる・かわず【蛙】
","水田や河川などに住み、4本の足の指に水かきがあって泳ぎが上手で、後ろ足が長くて走りが上手で、鳴のうを膨らませて鳴く動物。

",名詞 level2,64364
개구리헤엄,名詞,かえるおよぎ【蛙泳ぎ】。ひらおよぎ【平泳ぎ】,蛙が泳ぐように体を下向きにして両手で水を掻き分け、同時にちぢめた両足を開閉する泳法。,名詞 level2,23727
개구멍,名詞,いぬくぐり【犬潜り】,塀や垣根、大門などの下の方に犬が出入りできるほどの大きさで設けられている小さい穴。,名詞 level2,23118
개구쟁이,名詞,わんぱく【腕白】。がき。いたずらっこ【悪戯っ子】,悪戯がひどくて意地悪い子。,名詞 level2,23753
개국,依存名詞,かこく【ヶ国】,国を数える単位。,依存名詞 level2,64518
개그맨,名詞,"ギャグマン
",演劇やテレビ番組などで、滑稽な言葉や行動で人を笑わせる人。,名詞 level2,23756
개그우먼,名詞,"ギャグウーマン
",演劇やテレビ番組などで、滑稽な言葉や行動で人を笑わせる女の人。,名詞 level2,23081
개꿈,名詞,,特別な意味もなく、つまらなくてまとまりのない夢。,名詞 level2,23765
개나리,名詞,レンギョウ,"早春に葉が出てくる前に、垂れ下がった長い枝に黄色い花が鈴なりについている木。また、その花。
",名詞 level2,64519
개나리꽃,名詞,れんぎょうのはな【れんぎょうの花】,早春、長く伸びた枝に咲く黄色い花。,名詞 level2,23077
개념,名詞,がいねん【概念】。コンセプト,"ある事実や観念、物事に対する多くて具体的な例や特性を通じて得た一般的な知識や考え。
",名詞 level2,23768
개다,動詞,はれる【晴れる】 | たたむ【畳む】,雪、雨、霧などが消えてなくなって、曇っていた天気が良くなる。 | 服や布団などをきちんと折り返して重ねる。,動詞 level2,"15732,23416"
개똥,名詞,"いぬのくそ【犬の糞】
","犬のフン。
",名詞 level2,23427
개미,名詞,"あり【蟻】
","主に這って移動し、地中に穴を掘って集団生活をする、小さくて胴体が細い昆虫。
",名詞 level2,15737
객관적,冠形詞/名詞,"きゃっかんてき【客観的】
 | きゃっかんてき【客観的】	","個人の思い込みや感情に偏ることなく、事柄や物事をそのまま見たり考えたりすること。 | 個人の思い込みや感情に偏ることなく、事柄や物事をそのまま見たり考えたりするさま。
",冠形詞 名詞 level2,"15801,15793"
갤러리,名詞,"ギャラリー。がろう【画廊】
","美術作品を専門的に展示する施設。
",名詞 level2,22513
갸름하다,形容詞,ほそながめだ【細長めだ】,"やや細くて長めである。

",形容詞 level2,21242
걔,品詞なし,あいつ。あのこ【あの子】。そいつ。【その子】	,"｢그 아이｣の縮約形。
",品詞なし level2,64369
거,代名詞,それ	,"聞き手の近くにあるか聞き手が考えている物事をさす語。
",代名詞 level2,66342
거꾸로,副詞,"ぎゃくに【逆に】
","順序、方向、位置が反対になるように。
",副詞 level2,15804
거대,名詞,"きょだい【巨大】
",ものすごく大きいこと。,名詞 level2,26384
거대하다,形容詞,きょだいだ【巨大だ】,"ものすごく大きい。
",形容詞 level2,15810
거들다,動詞,てつだう【手伝う】。てだすけする【手助けする】,他人の仕事に手を貸す。,動詞 level2,15815
거래,名詞,とりひき【取引】,お金や物を取り交わしたり、売り買いすること。,名詞 level2,26752
거래되다,動詞,とりひきされる【取引される】,物が売り買いされる。,動詞 level2,26755
거래처,名詞,とりひきさき【取引先】,持続的にお金や商品などを売買する相手側。,名詞 level2,26764
거래하다,動詞,とりひきする【取引する】,お金や物を取り交わしたり、売り買いしたりする。,動詞 level2,26766
거리감,名詞,きょりかん【距離感】,ある対象と一定距離に離れていると感じる感情や感覚。 ,名詞 level2,26800
거리거리,名詞,まちまち【街街】,色々な街。街ごと。,名詞 level2,26803
걱정스럽다,形容詞,しんぱいだ【心配だ】,"よくないことがあるのではないかと思って、恐ろしくて不安だ。

",形容詞 level2,15869
건,品詞なし,それは。そりゃ。あれは。ありゃ	,"｢그것은｣の縮約形。
",品詞なし level2,66933
건강 보험,,けんこうほけん【健康保険】,病気や事故などで治療を受けたとき、治療のために使われた費用などを補償してくれる保険。,level2,600526
건강 진단,,けんこうしんだん【健康診断】	,"健康の維持、疾病の早期発見や予防などの目的で心身の状態を検査すること。　
",level2,21629
건강미,名詞,けんこうび【健康美】,健康な身体から感じられる美しさ。,名詞 level2,21620
건강식,名詞,けんこうしょく【健康食】,健康を維持したり回復させる目的で特別に用意した食事。,名詞 level2,21723
건강식품,名詞,けんこうしょくひん【健康食品】,健康の維持はもちろん、さらに健康になるために摂取する食品。,名詞 level2,21626
건강히,副詞,"げんきに【元気に】
","体や精神に異常なく、丈夫に。
",副詞 level2,21671
건너,名詞,"むこう【向こう】
",ある地点の向こう側。,名詞 level2,15874
건너다니다,動詞,わたる【渡る】。よこぎる【横切る】,"道や川などを渡って行き来する。
",動詞 level2,21804
건넌방,名詞,,板の間を間にして居間と向かい合っている部屋。,名詞 level2,15878
건널목,名詞,ふみきり【踏み切り】,鉄路や道路が交差するところに、道路を利用していた人々が鉄路を渡れるように設けたところ。 ,名詞 level2,21822
건넛마을,名詞,となりのむら【隣の村】。りんそん【隣村】,隣に位置している村。,名詞 level2,21654
건넛집,名詞,むかいのいえ【向かいの家】,道を間にして向かい合っている家。,名詞 level2,21735
건네다,動詞,わたす【渡す】。てわたす【手渡す】,"他の人にお金や物を与える。
",動詞 level2,15879
건네받다,動詞,わたされる【渡される】。てわたされる【手渡される】,"他の人にお金や物を与えてもらう。

",動詞 level2,21658
건네주다,動詞,わたす【渡す】。てわたす【手渡す】,"他の人にお金や物を与える。
",動詞 level2,15884
